track,index,timestamp,altitude (ft),vertical rate (ft),heading,speed (kts),speed (mph),latitude,longitude,aircraft type
1,1,2023-05-31 19:02:08,1325,0,183,168,193,30.177,-97.679,"Jet - Large Passenger"
1,2,2023-05-31 19:02:24,2025,1922,185,166,191,30.165,-97.680,"Jet - Large Passenger"
1,3,2023-05-31 19:02:40,2350,1125,184,181,208,30.153,-97.681,"Jet - Large Passenger"
1,4,2023-05-31 19:02:56,2625,1078,183,199,229,30.139,-97.682,"Jet - Large Passenger"
1,5,2023-05-31 19:03:12,2925,1263,204,218,251,30.124,-97.685,"Jet - Large Passenger"
1,6,2023-05-31 19:03:34,3425,1500,227,246,283,30.105,-97.704,"Jet - Large Passenger"
1,7,2023-05-31 19:04:04,4225,2011,228,267,307,30.081,-97.735,"Jet - Large Passenger"
1,8,2023-05-31 19:04:21,5000,3429,227,265,305,30.067,-97.753,"Jet - Large Passenger"
1,9,2023-05-31 19:04:39,6225,3429,215,248,285,30.052,-97.768,"Jet - Large Passenger"
1,10,2023-05-31 19:04:56,7000,2351,198,252,290,30.035,-97.778,"Jet - Large Passenger"
1,11,2023-05-31 19:05:16,7675,2192,179,264,304,30.011,-97.782,"Jet - Large Passenger"
1,12,2023-05-31 19:05:35,8425,2433,161,275,316,29.986,-97.777,"Jet - Large Passenger"
1,13,2023-05-31 19:06:01,9500,2314,158,285,328,29.955,-97.762,"Jet - Large Passenger"
1,14,2023-05-31 19:06:45,11125,2523,159,298,343,29.903,-97.739,"Jet - Large Passenger"
1,15,2023-05-31 19:07:07,12275,2908,140,298,343,29.875,-97.719,"Jet - Large Passenger"
1,16,2023-05-31 19:07:34,13500,2433,140,308,354,29.847,-97.690,"Jet - Large Passenger"
1,17,2023-05-31 19:07:52,14100,1769,165,311,358,29.823,-97.678,"Jet - Large Passenger"
1,18,2023-05-31 19:08:13,14650,1350,174,328,377,29.794,-97.674,"Jet - Large Passenger"
1,19,2023-05-31 19:08:32,15000,1531,160,353,406,29.763,-97.665,"Jet - Large Passenger"
1,20,2023-05-31 19:09:02,15900,2375,160,375,432,29.715,-97.645,"Jet - Large Passenger"
1,21,2023-05-31 19:09:32,17375,2775,160,377,434,29.665,-97.624,"Jet - Large Passenger"
1,22,2023-05-31 19:10:02,18675,2250,160,381,438,29.617,-97.604,"Jet - Large Passenger"
1,23,2023-05-31 19:10:32,19625,2000,160,398,458,29.567,-97.584,"Jet - Large Passenger"
1,24,2023-05-31 19:11:02,20675,2300,159,410,472,29.515,-97.561,"Jet - Large Passenger"
1,25,2023-05-31 19:11:32,21925,2350,159,414,476,29.460,-97.537,"Jet - Large Passenger"
1,26,2023-05-31 19:12:02,23025,1075,158,414,476,29.407,-97.513,"Jet - Large Passenger"
1,27,2023-05-31 19:12:32,23000,-25,159,414,476,29.352,-97.489,"Jet - Large Passenger"
1,28,2023-05-31 19:13:03,23000,123,159,414,476,29.298,-97.466,"Jet - Large Passenger"
1,29,2023-05-31 19:13:33,23125,1000,159,416,479,29.243,-97.442,"Jet - Large Passenger"
1,30,2023-05-31 19:14:03,24000,1875,159,422,486,29.192,-97.420,"Jet - Large Passenger"
1,31,2023-05-31 19:14:33,25000,1900,160,429,494,29.133,-97.395,"Jet - Large Passenger"
1,32,2023-05-31 19:15:03,25900,1800,160,435,501,29.077,-97.372,"Jet - Large Passenger"
1,33,2023-05-31 19:15:33,26800,1781,158,443,510,29.018,-97.347,"Jet - Large Passenger"
1,34,2023-05-31 19:15:51,27325,1671,134,460,529,28.987,-97.322,"Jet - Large Passenger"
1,35,2023-05-31 19:16:08,27775,1632,117,471,542,28.968,-97.289,"Jet - Large Passenger"
1,36,2023-05-31 19:16:25,28250,1573,100,482,555,28.957,-97.252,"Jet - Large Passenger"
1,37,2023-05-31 19:17:10,29400,1600,95,489,563,28.950,-97.134,"Jet - Large Passenger"
1,38,2023-05-31 19:17:40,30250,1500,95,489,563,28.944,-97.059,"Jet - Large Passenger"
1,39,2023-05-31 19:18:10,30900,917,95,491,565,28.938,-96.981,"Jet - Large Passenger"
1,40,2023-05-31 19:18:34,31075,1222,94,496,571,28.934,-96.918,"Jet - Large Passenger"
1,41,2023-05-31 19:19:04,32000,1850,95,489,563,28.929,-96.842,"Jet - Large Passenger"
1,42,2023-05-31 19:19:34,32925,1775,95,484,557,28.923,-96.764,"Jet - Large Passenger"
1,43,2023-05-31 19:20:04,33775,1575,95,481,554,28.918,-96.690,"Jet - Large Passenger"
1,44,2023-05-31 19:20:34,34500,1225,95,481,554,28.912,-96.612,"Jet - Large Passenger"
1,45,2023-05-31 19:21:04,35000,500,95,485,558,28.906,-96.538,"Jet - Large Passenger"
1,46,2023-05-31 19:21:34,35000,0,95,487,560,28.900,-96.459,"Jet - Large Passenger"
1,47,2023-05-31 19:22:04,35000,0,95,487,560,28.894,-96.383,"Jet - Large Passenger"
1,48,2023-05-31 19:22:35,35000,639,95,487,560,28.888,-96.305,"Jet - Large Passenger"
1,49,2023-05-31 19:23:05,35650,1525,95,483,556,28.882,-96.228,"Jet - Large Passenger"
1,50,2023-05-31 19:23:35,36525,1500,95,476,548,28.876,-96.151,"Jet - Large Passenger"
1,51,2023-05-31 19:24:05,37150,1050,95,473,544,28.871,-96.079,"Jet - Large Passenger"
1,52,2023-05-31 19:24:35,37575,675,95,473,544,28.865,-96.003,"Jet - Large Passenger"
1,53,2023-05-31 19:25:05,37825,475,95,477,549,28.859,-95.929,"Jet - Large Passenger"
1,54,2023-05-31 19:25:35,38050,450,95,481,554,28.853,-95.854,"Jet - Large Passenger"
1,55,2023-05-31 19:26:05,38275,625,95,486,559,28.847,-95.777,"Jet - Large Passenger"
1,56,2023-05-31 19:26:35,38675,700,95,486,559,28.840,-95.699,"Jet - Large Passenger"
1,57,2023-05-31 19:27:05,38975,325,95,487,560,28.834,-95.627,"Jet - Large Passenger"
1,58,2023-05-31 19:27:35,39000,25,95,489,563,28.828,-95.550,"Jet - Large Passenger"
1,59,2023-05-31 19:28:05,39000,0,95,489,563,28.821,-95.471,"Jet - Large Passenger"
1,60,2023-05-31 19:28:35,39000,0,95,491,565,28.815,-95.391,"Jet - Large Passenger"
1,61,2023-05-31 19:29:05,39000,0,96,493,567,28.809,-95.316,"Jet - Large Passenger"
1,62,2023-05-31 19:29:35,39000,-475,95,495,570,28.802,-95.237,"Jet - Large Passenger"
1,63,2023-05-31 19:30:05,38525,-975,95,495,570,28.796,-95.160,"Jet - Large Passenger"
1,64,2023-05-31 19:30:35,38025,-959,96,488,562,28.789,-95.081,"Jet - Large Passenger"
1,65,2023-05-31 19:31:06,37550,-934,96,487,560,28.782,-95.002,"Jet - Large Passenger"
1,66,2023-05-31 19:31:36,37075,-532,96,488,562,28.775,-94.928,"Jet - Large Passenger"
1,67,2023-05-31 19:32:08,37000,-70,96,486,559,28.768,-94.850,"Jet - Large Passenger"
1,68,2023-05-31 19:32:40,37000,0,96,487,560,28.761,-94.765,"Jet - Large Passenger"
1,69,2023-05-31 19:33:10,37000,0,96,489,563,28.754,-94.691,"Jet - Large Passenger"
1,70,2023-05-31 19:33:41,37000,0,96,490,564,28.747,-94.610,"Jet - Large Passenger"
1,71,2023-05-31 19:34:11,37000,0,96,490,564,28.740,-94.533,"Jet - Large Passenger"
1,72,2023-05-31 19:34:43,37000,0,96,490,564,28.733,-94.449,"Jet - Large Passenger"
1,73,2023-05-31 19:35:13,37000,0,96,489,563,28.726,-94.372,"Jet - Large Passenger"
1,74,2023-05-31 19:35:43,37000,0,96,489,563,28.718,-94.296,"Jet - Large Passenger"
1,75,2023-05-31 19:36:13,37000,0,96,489,563,28.711,-94.219,"Jet - Large Passenger"
1,76,2023-05-31 19:36:43,37000,0,96,490,564,28.704,-94.142,"Jet - Large Passenger"
1,77,2023-05-31 19:37:13,37000,0,96,490,564,28.696,-94.064,"Jet - Large Passenger"
1,78,2023-05-31 19:37:44,37000,0,96,489,563,28.689,-93.986,"Jet - Large Passenger"
1,79,2023-05-31 19:38:17,37000,0,96,489,563,28.681,-93.904,"Jet - Large Passenger"
1,80,2023-05-31 19:38:47,37000,0,96,487,560,28.674,-93.824,"Jet - Large Passenger"
1,81,2023-05-31 19:39:18,37000,0,96,485,558,28.666,-93.749,"Jet - Large Passenger"
1,82,2023-05-31 19:39:49,37000,0,96,484,557,28.659,-93.672,"Jet - Large Passenger"
1,83,2023-05-31 19:40:19,37000,0,96,483,556,28.651,-93.595,"Jet - Large Passenger"
1,84,2023-05-31 19:40:49,37000,0,96,482,555,28.644,-93.517,"Jet - Large Passenger"
1,85,2023-05-31 19:41:19,37000,0,96,484,557,28.637,-93.444,"Jet - Large Passenger"
1,86,2023-05-31 19:41:49,37000,0,97,486,559,28.629,-93.367,"Jet - Large Passenger"
1,87,2023-05-31 19:42:19,37000,0,97,485,558,28.622,-93.293,"Jet - Large Passenger"
1,88,2023-05-31 19:42:49,37000,0,97,484,557,28.614,-93.214,"Jet - Large Passenger"
1,89,2023-05-31 19:43:19,37000,0,97,485,558,28.606,-93.140,"Jet - Large Passenger"
1,90,2023-05-31 19:43:50,37000,0,97,486,559,28.598,-93.062,"Jet - Large Passenger"
1,91,2023-05-31 19:44:20,37000,0,97,487,560,28.591,-92.987,"Jet - Large Passenger"
1,92,2023-05-31 19:44:50,37000,0,97,487,560,28.583,-92.912,"Jet - Large Passenger"
1,93,2023-05-31 19:45:20,37000,0,97,489,563,28.575,-92.835,"Jet - Large Passenger"
1,94,2023-05-31 19:45:50,37000,0,97,492,566,28.567,-92.758,"Jet - Large Passenger"
1,95,2023-05-31 19:46:20,37000,0,97,494,568,28.559,-92.680,"Jet - Large Passenger"
1,96,2023-05-31 19:46:50,37000,0,97,497,572,28.551,-92.602,"Jet - Large Passenger"
1,97,2023-05-31 19:47:20,37000,0,97,497,572,28.542,-92.524,"Jet - Large Passenger"
1,98,2023-05-31 19:47:50,37000,0,97,496,571,28.534,-92.449,"Jet - Large Passenger"
1,99,2023-05-31 19:48:20,37000,0,97,495,570,28.526,-92.369,"Jet - Large Passenger"
1,100,2023-05-31 19:48:51,37000,0,97,494,568,28.517,-92.293,"Jet - Large Passenger"
1,101,2023-05-31 19:49:21,37000,0,97,494,568,28.509,-92.214,"Jet - Large Passenger"
1,102,2023-05-31 19:49:51,37000,0,97,493,567,28.500,-92.135,"Jet - Large Passenger"
1,103,2023-05-31 19:50:21,37000,0,97,493,567,28.492,-92.059,"Jet - Large Passenger"
1,104,2023-05-31 19:50:51,37000,0,97,492,566,28.483,-91.981,"Jet - Large Passenger"
1,105,2023-05-31 19:51:21,37000,0,97,493,567,28.475,-91.904,"Jet - Large Passenger"
1,106,2023-05-31 19:51:52,37000,0,97,493,567,28.467,-91.828,"Jet - Large Passenger"
1,107,2023-05-31 19:52:22,37000,0,97,493,567,28.458,-91.749,"Jet - Large Passenger"
1,108,2023-05-31 19:52:52,37000,0,97,494,568,28.449,-91.672,"Jet - Large Passenger"
1,109,2023-05-31 19:53:22,37000,0,97,497,572,28.440,-91.595,"Jet - Large Passenger"
1,110,2023-05-31 19:53:52,37000,0,97,498,573,28.432,-91.517,"Jet - Large Passenger"
1,111,2023-05-31 19:54:22,37000,0,97,499,574,28.423,-91.438,"Jet - Large Passenger"
1,112,2023-05-31 19:54:52,37000,0,97,500,575,28.414,-91.360,"Jet - Large Passenger"
1,113,2023-05-31 19:55:22,37000,0,97,502,578,28.405,-91.283,"Jet - Large Passenger"
1,114,2023-05-31 19:55:53,37000,0,97,502,578,28.396,-91.204,"Jet - Large Passenger"
1,115,2023-05-31 19:56:23,37000,0,98,502,578,28.386,-91.124,"Jet - Large Passenger"
1,116,2023-05-31 19:56:53,37000,0,98,500,575,28.377,-91.046,"Jet - Large Passenger"
1,117,2023-05-31 19:57:23,37000,0,98,499,574,28.368,-90.968,"Jet - Large Passenger"
1,118,2023-05-31 19:57:53,37000,0,98,499,574,28.359,-90.890,"Jet - Large Passenger"
1,119,2023-05-31 19:58:24,37000,0,98,498,573,28.350,-90.813,"Jet - Large Passenger"
1,120,2023-05-31 19:58:54,37000,0,98,499,574,28.340,-90.733,"Jet - Large Passenger"
1,121,2023-05-31 19:59:24,37000,0,98,498,573,28.331,-90.656,"Jet - Large Passenger"
1,122,2023-05-31 19:59:54,37000,0,98,498,573,28.321,-90.578,"Jet - Large Passenger"
1,123,2023-05-31 20:00:24,37000,0,98,498,573,28.312,-90.499,"Jet - Large Passenger"
1,124,2023-05-31 20:00:54,37000,0,98,498,573,28.303,-90.422,"Jet - Large Passenger"
1,125,2023-05-31 20:01:25,37000,0,98,497,572,28.293,-90.340,"Jet - Large Passenger"
1,126,2023-05-31 20:01:55,37000,0,98,497,572,28.284,-90.266,"Jet - Large Passenger"
1,127,2023-05-31 20:02:25,37000,0,98,496,571,28.274,-90.189,"Jet - Large Passenger"
1,128,2023-05-31 20:02:55,37000,0,98,496,571,28.264,-90.111,"Jet - Large Passenger"
1,129,2023-05-31 20:03:25,37000,0,98,496,571,28.255,-90.033,"Jet - Large Passenger"
1,130,2023-05-31 20:03:56,37000,0,98,497,572,28.245,-89.956,"Jet - Large Passenger"
1,131,2023-05-31 20:04:38,37000,0,98,497,572,28.231,-89.848,"Jet - Large Passenger"
1,132,2023-05-31 20:05:08,37000,0,98,498,573,28.221,-89.771,"Jet - Large Passenger"
1,133,2023-05-31 20:05:38,37000,0,98,499,574,28.212,-89.693,"Jet - Large Passenger"
1,134,2023-05-31 20:06:10,37000,0,98,499,574,28.201,-89.609,"Jet - Large Passenger"
1,135,2023-05-31 20:06:41,37000,0,98,500,575,28.191,-89.528,"Jet - Large Passenger"
1,136,2023-05-31 20:07:11,37000,0,98,497,572,28.180,-89.450,"Jet - Large Passenger"
1,137,2023-05-31 20:07:41,37000,0,98,493,567,28.170,-89.372,"Jet - Large Passenger"
1,138,2023-05-31 20:08:12,37000,0,98,493,567,28.160,-89.295,"Jet - Large Passenger"
1,139,2023-05-31 20:08:42,37000,0,98,494,568,28.150,-89.220,"Jet - Large Passenger"
1,140,2023-05-31 20:09:12,37000,0,99,494,568,28.140,-89.141,"Jet - Large Passenger"
1,141,2023-05-31 20:09:43,37000,0,99,493,567,28.130,-89.063,"Jet - Large Passenger"
1,142,2023-05-31 20:10:13,37000,0,99,492,566,28.119,-88.986,"Jet - Large Passenger"
1,143,2023-05-31 20:10:43,37000,0,99,491,565,28.109,-88.910,"Jet - Large Passenger"
1,144,2023-05-31 20:11:13,37000,0,99,490,564,28.099,-88.836,"Jet - Large Passenger"
1,145,2023-05-31 20:11:43,37000,0,99,490,564,28.089,-88.759,"Jet - Large Passenger"
1,146,2023-05-31 20:12:13,37000,0,99,489,563,28.079,-88.683,"Jet - Large Passenger"
1,147,2023-05-31 20:12:43,37000,0,99,489,563,28.069,-88.607,"Jet - Large Passenger"
1,148,2023-05-31 20:13:13,37000,0,99,489,563,28.058,-88.530,"Jet - Large Passenger"
1,149,2023-05-31 20:13:43,37000,0,99,490,564,28.048,-88.457,"Jet - Large Passenger"
1,150,2023-05-31 20:14:13,37000,0,99,490,564,28.037,-88.379,"Jet - Large Passenger"
1,151,2023-05-31 20:14:44,37000,0,99,491,565,28.026,-88.301,"Jet - Large Passenger"
1,152,2023-05-31 20:15:14,37000,0,99,493,567,28.016,-88.226,"Jet - Large Passenger"
1,153,2023-05-31 20:15:44,37000,0,99,493,567,28.006,-88.150,"Jet - Large Passenger"
1,154,2023-05-31 20:16:18,37000,0,99,494,568,27.993,-88.063,"Jet - Large Passenger"
1,155,2023-05-31 20:16:56,37000,0,99,495,570,27.979,-87.965,"Jet - Large Passenger"
1,156,2023-05-31 20:17:37,37000,0,99,495,570,27.964,-87.861,"Jet - Large Passenger"
1,157,2023-05-31 20:18:07,37000,0,99,494,568,27.953,-87.785,"Jet - Large Passenger"
1,158,2023-05-31 20:18:37,37000,0,99,494,568,27.942,-87.710,"Jet - Large Passenger"
1,159,2023-05-31 20:19:07,37000,0,99,494,568,27.930,-87.633,"Jet - Large Passenger"
1,160,2023-05-31 20:19:38,37000,0,99,494,568,27.919,-87.555,"Jet - Large Passenger"
1,161,2023-05-31 20:20:08,37000,0,100,493,567,27.907,-87.477,"Jet - Large Passenger"
1,162,2023-05-31 20:20:38,37000,0,100,492,566,27.896,-87.404,"Jet - Large Passenger"
1,163,2023-05-31 20:21:12,37000,0,100,492,566,27.884,-87.317,"Jet - Large Passenger"
1,164,2023-05-31 20:21:42,37000,0,100,491,565,27.872,-87.240,"Jet - Large Passenger"
1,165,2023-05-31 20:22:12,37000,0,100,491,565,27.860,-87.163,"Jet - Large Passenger"
1,166,2023-05-31 20:22:42,37000,0,100,490,564,27.849,-87.089,"Jet - Large Passenger"
1,167,2023-05-31 20:23:13,37000,0,100,485,558,27.837,-87.012,"Jet - Large Passenger"
1,168,2023-05-31 20:23:44,37000,0,100,482,555,27.826,-86.934,"Jet - Large Passenger"
1,169,2023-05-31 20:24:14,37000,0,100,481,554,27.814,-86.860,"Jet - Large Passenger"
1,170,2023-05-31 20:24:44,37000,0,100,480,552,27.803,-86.785,"Jet - Large Passenger"
1,171,2023-05-31 20:25:16,37000,0,100,479,551,27.791,-86.708,"Jet - Large Passenger"
1,172,2023-05-31 20:25:46,37000,0,100,479,551,27.780,-86.636,"Jet - Large Passenger"
1,173,2023-05-31 20:26:17,37000,0,100,479,551,27.767,-86.557,"Jet - Large Passenger"
1,174,2023-05-31 20:26:47,37000,0,100,482,555,27.756,-86.483,"Jet - Large Passenger"
1,175,2023-05-31 20:27:17,37000,0,100,485,558,27.744,-86.410,"Jet - Large Passenger"
1,176,2023-05-31 20:27:48,37000,0,100,487,560,27.732,-86.329,"Jet - Large Passenger"
1,177,2023-05-31 20:28:18,37000,0,100,487,560,27.720,-86.256,"Jet - Large Passenger"
1,178,2023-05-31 20:28:48,37000,0,100,487,560,27.709,-86.182,"Jet - Large Passenger"
1,179,2023-05-31 20:29:19,37000,0,100,486,559,27.696,-86.106,"Jet - Large Passenger"
1,180,2023-05-31 20:29:50,37000,0,100,486,559,27.684,-86.028,"Jet - Large Passenger"
1,181,2023-05-31 20:30:20,37000,0,100,486,559,27.672,-85.953,"Jet - Large Passenger"
1,182,2023-05-31 20:30:51,37000,0,100,485,558,27.660,-85.878,"Jet - Large Passenger"
1,183,2023-05-31 20:31:21,37000,0,100,486,559,27.648,-85.803,"Jet - Large Passenger"
1,184,2023-05-31 20:31:51,37000,0,100,486,559,27.636,-85.726,"Jet - Large Passenger"
1,185,2023-05-31 20:32:22,37000,0,100,487,560,27.623,-85.651,"Jet - Large Passenger"
1,186,2023-05-31 20:32:53,37000,0,100,487,560,27.610,-85.571,"Jet - Large Passenger"
1,187,2023-05-31 20:33:23,37000,0,100,486,559,27.598,-85.495,"Jet - Large Passenger"
1,188,2023-05-31 20:33:52,37000,0,106,485,558,27.584,-85.424,"Jet - Large Passenger"
1,189,2023-05-31 20:34:08,37000,0,111,483,556,27.573,-85.389,"Jet - Large Passenger"
1,190,2023-05-31 20:34:39,37000,0,112,482,555,27.548,-85.317,"Jet - Large Passenger"
1,191,2023-05-31 20:35:09,37000,0,112,482,555,27.524,-85.248,"Jet - Large Passenger"
1,192,2023-05-31 20:35:39,37000,0,112,482,555,27.498,-85.177,"Jet - Large Passenger"
1,193,2023-05-31 20:36:09,37000,0,112,482,555,27.474,-85.107,"Jet - Large Passenger"
1,194,2023-05-31 20:36:39,37000,0,112,481,554,27.448,-85.035,"Jet - Large Passenger"
1,195,2023-05-31 20:37:11,37000,0,112,482,555,27.421,-84.960,"Jet - Large Passenger"
1,196,2023-05-31 20:37:42,37000,0,112,483,556,27.396,-84.891,"Jet - Large Passenger"
1,197,2023-05-31 20:38:12,37000,0,112,483,556,27.372,-84.822,"Jet - Large Passenger"
1,198,2023-05-31 20:38:42,37000,0,112,484,557,27.346,-84.749,"Jet - Large Passenger"
1,199,2023-05-31 20:39:13,37000,0,112,484,557,27.320,-84.679,"Jet - Large Passenger"
1,200,2023-05-31 20:39:43,37000,0,112,484,557,27.295,-84.609,"Jet - Large Passenger"
1,201,2023-05-31 20:40:13,37000,0,112,484,557,27.270,-84.539,"Jet - Large Passenger"
1,202,2023-05-31 20:40:43,37000,0,112,484,557,27.245,-84.471,"Jet - Large Passenger"
1,203,2023-05-31 20:41:13,37000,0,112,483,556,27.220,-84.401,"Jet - Large Passenger"
1,204,2023-05-31 20:41:44,37000,0,112,482,555,27.194,-84.329,"Jet - Large Passenger"
1,205,2023-05-31 20:42:14,37000,0,112,482,555,27.168,-84.259,"Jet - Large Passenger"
1,206,2023-05-31 20:42:44,37000,0,112,482,555,27.143,-84.189,"Jet - Large Passenger"
1,207,2023-05-31 20:43:16,37000,0,112,481,554,27.116,-84.115,"Jet - Large Passenger"
1,208,2023-05-31 20:43:46,37000,0,112,481,554,27.091,-84.046,"Jet - Large Passenger"
1,209,2023-05-31 20:44:16,37000,0,112,481,554,27.066,-83.978,"Jet - Large Passenger"
1,210,2023-05-31 20:44:46,37000,0,112,484,557,27.039,-83.906,"Jet - Large Passenger"
1,211,2023-05-31 20:45:16,37000,0,112,488,562,27.015,-83.838,"Jet - Large Passenger"
1,212,2023-05-31 20:45:46,37000,0,112,489,563,26.989,-83.768,"Jet - Large Passenger"
1,213,2023-05-31 20:46:16,37000,0,112,490,564,26.963,-83.699,"Jet - Large Passenger"
1,214,2023-05-31 20:46:46,37000,0,112,492,566,26.937,-83.627,"Jet - Large Passenger"
1,215,2023-05-31 20:47:16,37000,0,112,492,566,26.911,-83.558,"Jet - Large Passenger"
1,216,2023-05-31 20:47:46,37000,0,113,494,568,26.884,-83.486,"Jet - Large Passenger"
1,217,2023-05-31 20:48:16,37000,0,113,494,568,26.858,-83.416,"Jet - Large Passenger"
1,218,2023-05-31 20:48:46,37000,0,113,494,568,26.832,-83.346,"Jet - Large Passenger"
1,219,2023-05-31 20:49:16,37000,0,113,495,570,26.805,-83.274,"Jet - Large Passenger"
1,220,2023-05-31 20:49:46,37000,0,113,494,568,26.779,-83.204,"Jet - Large Passenger"
1,221,2023-05-31 20:50:18,37000,0,113,494,568,26.751,-83.130,"Jet - Large Passenger"
1,222,2023-05-31 20:50:48,37000,0,113,493,567,26.724,-83.057,"Jet - Large Passenger"
1,223,2023-05-31 20:51:18,37000,0,113,493,567,26.698,-82.987,"Jet - Large Passenger"
1,224,2023-05-31 20:51:48,37000,0,113,492,566,26.672,-82.918,"Jet - Large Passenger"
1,225,2023-05-31 20:52:19,37000,0,113,492,566,26.644,-82.844,"Jet - Large Passenger"
1,226,2023-05-31 20:52:51,37000,0,113,492,566,26.616,-82.770,"Jet - Large Passenger"
1,227,2023-05-31 20:53:21,37000,0,113,492,566,26.590,-82.699,"Jet - Large Passenger"
1,228,2023-05-31 20:53:51,37000,-350,113,492,566,26.563,-82.630,"Jet - Large Passenger"
1,229,2023-05-31 20:54:21,36650,-850,113,491,565,26.536,-82.558,"Jet - Large Passenger"
1,230,2023-05-31 20:54:51,36150,-1800,113,490,564,26.510,-82.490,"Jet - Large Passenger"
1,231,2023-05-31 20:55:21,34850,-2750,113,488,562,26.483,-82.420,"Jet - Large Passenger"
1,232,2023-05-31 20:55:51,33400,-2850,113,488,562,26.457,-82.351,"Jet - Large Passenger"
1,233,2023-05-31 20:56:21,32000,-2500,113,482,555,26.429,-82.279,"Jet - Large Passenger"
1,234,2023-05-31 20:56:51,30900,-2200,113,472,543,26.403,-82.212,"Jet - Large Passenger"
1,235,2023-05-31 20:57:21,29800,-2164,113,462,532,26.380,-82.150,"Jet - Large Passenger"
1,236,2023-05-31 20:57:52,28700,-2115,113,454,522,26.353,-82.079,"Jet - Large Passenger"
1,237,2023-05-31 20:58:22,27650,-2075,113,447,514,26.328,-82.016,"Jet - Large Passenger"
1,238,2023-05-31 20:58:52,26625,-2100,113,440,506,26.305,-81.956,"Jet - Large Passenger"
1,239,2023-05-31 20:59:22,25550,-2125,113,434,499,26.281,-81.893,"Jet - Large Passenger"
1,240,2023-05-31 20:59:52,24500,-2121,113,427,491,26.258,-81.832,"Jet - Large Passenger"
1,241,2023-05-31 21:00:20,23500,-2147,115,420,483,26.235,-81.776,"Jet - Large Passenger"
1,242,2023-05-31 21:00:50,22425,-2100,116,412,474,26.209,-81.716,"Jet - Large Passenger"
1,243,2023-05-31 21:01:20,21400,-2075,116,407,468,26.185,-81.659,"Jet - Large Passenger"
1,244,2023-05-31 21:01:50,20350,-2050,116,401,461,26.160,-81.602,"Jet - Large Passenger"
1,245,2023-05-31 21:02:20,19350,-1975,116,395,455,26.136,-81.547,"Jet - Large Passenger"
1,246,2023-05-31 21:02:50,18375,-1950,116,388,447,26.113,-81.494,"Jet - Large Passenger"
1,247,2023-05-31 21:03:20,17400,-2050,116,383,441,26.090,-81.441,"Jet - Large Passenger"
1,248,2023-05-31 21:03:50,16325,-2025,116,377,434,26.066,-81.387,"Jet - Large Passenger"
1,249,2023-05-31 21:04:20,15375,-1925,116,371,427,26.045,-81.338,"Jet - Large Passenger"
1,250,2023-05-31 21:04:50,14400,-1967,116,364,419,26.022,-81.286,"Jet - Large Passenger"
1,251,2023-05-31 21:05:21,13375,-1943,116,356,410,25.999,-81.233,"Jet - Large Passenger"
1,252,2023-05-31 21:05:51,12425,-1850,116,349,402,25.977,-81.184,"Jet - Large Passenger"
1,253,2023-05-31 21:06:21,11525,-1825,115,342,394,25.957,-81.138,"Jet - Large Passenger"
1,254,2023-05-31 21:06:51,10600,-1450,116,337,388,25.937,-81.090,"Jet - Large Passenger"
1,255,2023-05-31 21:07:21,10075,-808,116,319,367,25.917,-81.044,"Jet - Large Passenger"
1,256,2023-05-31 21:07:43,9900,-952,113,303,349,25.904,-81.013,"Jet - Large Passenger"
1,257,2023-05-31 21:08:13,9250,-1350,113,295,339,25.888,-80.971,"Jet - Large Passenger"
1,258,2023-05-31 21:08:43,8550,-1150,113,291,335,25.872,-80.929,"Jet - Large Passenger"
1,259,2023-05-31 21:09:13,8100,-700,113,277,319,25.856,-80.888,"Jet - Large Passenger"
1,260,2023-05-31 21:09:43,7850,-750,113,258,297,25.842,-80.851,"Jet - Large Passenger"
1,261,2023-05-31 21:10:13,7350,-1025,113,251,289,25.828,-80.816,"Jet - Large Passenger"
1,262,2023-05-31 21:10:43,6825,-1025,113,246,283,25.814,-80.779,"Jet - Large Passenger"
1,263,2023-05-31 21:11:13,6325,-1000,113,245,282,25.801,-80.745,"Jet - Large Passenger"
1,264,2023-05-31 21:11:43,5825,-1009,113,244,281,25.788,-80.710,"Jet - Large Passenger"
1,265,2023-05-31 21:12:11,5350,-1023,111,244,281,25.775,-80.677,"Jet - Large Passenger"
1,266,2023-05-31 21:12:27,5075,-989,92,241,277,25.771,-80.657,"Jet - Large Passenger"
1,267,2023-05-31 21:12:55,4625,-983,88,237,273,25.773,-80.624,"Jet - Large Passenger"
1,268,2023-05-31 21:13:25,4125,-925,86,240,276,25.774,-80.587,"Jet - Large Passenger"
1,269,2023-05-31 21:13:55,3700,-800,88,242,278,25.776,-80.550,"Jet - Large Passenger"
1,270,2023-05-31 21:14:25,3325,-925,88,241,277,25.777,-80.512,"Jet - Large Passenger"
1,271,2023-05-31 21:14:55,2775,-1225,87,233,268,25.779,-80.478,"Jet - Large Passenger"
1,272,2023-05-31 21:15:25,2100,-1150,87,213,245,25.781,-80.442,"Jet - Large Passenger"
1,273,2023-05-31 21:15:55,1625,-925,88,179,206,25.782,-80.412,"Jet - Large Passenger"
1,274,2023-05-31 21:16:25,1175,-806,87,149,171,25.783,-80.387,"Jet - Large Passenger"
1,275,2023-05-31 21:17:53,150,-694,87,135,155,25.786,-80.323,"Jet - Large Passenger"
1,276,2023-05-31 21:18:09,500,-656,87,138,159,25.786,-80.314,"Jet - Large Passenger"
